N,output,parameter,S1,S1_conf,ST,ST_conf
256,CADR_m3h,Qb,0.0010793404773605496,0.012691717307406737,0.00950072267799604,0.009160882322945384
256,CADR_m3h,I,0.010055258241788073,0.0737752755579244,0.069371838792632,0.040666841265841074
256,CADR_m3h,ACH,0.0,0.0,0.0,0.0
512,C30_ppm,Pmax,-0.06658605063534533,0.3629915383719729,0.028126409965733366,0.009396486954379463
512,C30_ppm,alpha,0.005315657082922863,0.1172513910643796,0.00286872805790451,0.0011161895135415572
512,C30_ppm,Kc,-0.0014494607326852626,0.009910002881530445,2.0463651669284904e-05,7.749443777275664e-06
512,C30_ppm,a_s,-0.013117534197434272,0.4947739066720343,0.05539647691030035,0.014233267229634826
512,C30_ppm,Lc,0.0004637108490594169,0.012155705859016354,3.200414544308763e-05,1.3073731822173509e-05
512,C30_ppm,A,-0.02133353726572059,0.3672933902065995,0.02837490452095287,0.006334940743202009
512,C30_ppm,L,-0.07528020442057848,0.34921432836670735,0.024627859817355244,0.005575380683613176
512,C30_ppm,Qb,-0.004652556451954582,0.14324343095514538,0.004545903564469014,0.0021841068863594068
512,C30_ppm,I,0.040165003099711466,0.17500782452265035,0.007118951648807963,0.0024698264680272945
512,C30_ppm,ACH,0.7768529669441078,2.076305901099893,0.8782949288768845,0.08279633078753923
512,eta_sp,Pmax,0.07751161036478185,0.05064181315755021,0.1857256594125444,0.0565773768974509
512,eta_sp,alpha,0.010892794449817576,0.019492830201728727,0.02009283118994171,0.012279506721673756
512,eta_sp,Kc,3.2742724796208754e-05,0.0026394527647125507,0.0003526365498502876,0.00010587055943523071
512,eta_sp,a_s,0.19283031698988928,0.09011861961784878,0.3297629287575275,0.09207958004075566
512,eta_sp,Lc,-0.00014344482738002217,0.0017840949365626802,0.00042081266955714525,0.00016320102318676736
512,eta_sp,A,0.10526896758681566,0.09397861714631435,0.24788724016760247,0.0679203128776828
512,eta_sp,L,0.06315358689447281,0.047186485762726285,0.20455159837996398,0.06067220064156394
512,eta_sp,Qb,0.16654235412536555,0.09442265186786895,0.3985985916634661,0.08819848439655668
512,eta_sp,I,0.007673938296953593,0.025815513086031965,0.03625879737243252,0.013158804155459287
512,eta_sp,ACH,0.0,0.0,0.0,0.0
512,CADR_m3h,Pmax,0.0894272257875735,0.0646982108285844,0.2298046120134764,0.06171065004490829
512,CADR_m3h,alpha,0.018242669375062207,0.039798069481878084,0.028749479533740577,0.011916489831613508
